date,product_type,region,market_segment,supplier,transport_mode,actual_demand_units,planned_order_units,avg_selling_price_usd,revenue_usd,opening_stock_units,safety_stock_units,reorder_point_units,lead_time_days,supplier_delay_days,shipping_time_days,logistics_cost_usd,disruption_type,disruption_severity_1_to_5,fulfilled_units,stockout_units,service_level_pct,supplier_risk_score,risk_level,dashboard_color_code,bullwhip_ratio_proxy,demand_spike_flag,delay_flag,source_note,month
2022-02-06,Microcontroller,Europe,Consumer Electronics,Supplier_D,Sea,5974,6214,5.94,35485.56,6566,1493,3883,41,0,26,662.46,Unknown,0,5974,0,100.0,36.4,Medium,Orange,1.07,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-07,Analog IC,Rest of World,Consumer Electronics,Supplier_B,Sea,7867,8442,11.77,92594.59,5680,1966,5113,28,12,24,936.29,Supplier Delay,3,7867,0,100.0,85.2,High,Red,1.209,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-08,Memory Chip,Europe,Automotive,Supplier_A,Road,9295,8992,2.33,21657.35,8179,2323,6041,21,0,15,2019.97,Logistics Delay,4,9295,0,100.0,35.6,Medium,Orange,1.118,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-09,Sensor IC,India,Automotive,Supplier_E,Air,5457,5936,10.34,56425.38,3916,1364,3547,17,0,5,2923.31,Unknown,0,5457,0,100.0,0.0,Low,Green,1.193,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-10,Sensor IC,Europe,Computing,Supplier_E,Air,4919,5990,2.53,12445.07,944,1229,3197,22,0,3,2784.52,Inventory Shortage,2,4919,0,100.0,18.4,Low,Green,1.245,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-11,Power IC,India,Automotive,Supplier_B,Road,5944,7809,6.33,37625.52,4320,1486,3863,32,0,6,1409.19,Demand Spike,5,5944,0,100.0,54.4,Medium,Orange,1.494,1,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-12,Logic IC,Europe,Telecom,Supplier_A,Multimodal,7363,9108,8.38,61701.94,3669,1840,4785,25,1,11,2117.45,Inventory Shortage,5,7363,0,100.0,49.5,Medium,Orange,1.357,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-13,Microcontroller,Europe,Computing,Supplier_A,Sea,5242,5560,10.6,55565.2,3931,1310,3407,17,4,33,614.28,Unknown,0,5242,0,100.0,30.8,Low,Green,1.185,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-14,Memory Chip,Europe,Telecom,Supplier_D,Road,12102,14142,12.87,155752.74,11092,3025,7866,32,0,12,2461.98,Demand Spike,1,12102,0,100.0,22.4,Low,Green,1.292,1,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-15,Sensor IC,India,Automotive,Supplier_B,Road,5210,5771,5.74,29905.4,4934,1302,3386,34,0,7,1168.04,Unknown,0,5210,0,100.0,16.8,Low,Green,1.078,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-16,Microcontroller,India,Automotive,Supplier_B,Multimodal,6918,7553,11.21,77550.78,6277,1729,4496,19,17,13,2132.77,Supplier Delay,4,6918,0,100.0,92.3,High,Red,1.277,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-17,Microcontroller,Europe,Telecom,Supplier_C,Road,8846,11750,8.17,72271.82,6983,2211,5749,16,0,10,2520.18,Demand Spike,3,8846,0,100.0,24.0,Low,Green,1.572,1,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-18,Memory Chip,North America,Computing,Supplier_D,Sea,10246,10557,12.25,125513.5,10052,2561,6659,29,4,33,1220.13,Unknown,0,10246,0,100.0,41.6,Medium,Orange,1.203,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-19,Sensor IC,Asia-Pacific,Computing,Supplier_D,Air,5254,5769,10.53,55324.62,6427,1313,3415,19,11,4,2800.24,Supplier Delay,4,5254,0,100.0,70.5,High,Red,1.147,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-20,Power IC,India,Computing,Supplier_A,Air,4846,4791,2.47,11969.62,2306,1211,3149,15,1,2,1991.78,Unknown,0,4846,0,100.0,3.5,Low,Green,1.019,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-21,Microcontroller,Europe,Industrial,Supplier_C,Multimodal,7505,7807,7.28,54636.4,4343,1876,4878,17,0,17,2199.42,Unknown,0,7505,0,100.0,4.0,Low,Green,1.108,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-22,Power IC,India,Industrial,Supplier_A,Multimodal,5466,5603,4.64,25362.24,4352,1366,3552,30,0,14,1290.62,Unknown,0,5466,0,100.0,13.6,Low,Green,1.098,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-23,Memory Chip,India,Computing,Supplier_C,Road,8534,10304,6.55,55897.7,2648,2133,5547,12,0,9,2231.18,Inventory Shortage,3,8534,0,100.0,24.0,Low,Green,1.339,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-24,Logic IC,Europe,Consumer Electronics,Supplier_A,Air,7577,8141,3.05,23109.85,9386,1894,4925,21,0,5,3884.08,Unknown,0,7577,0,100.0,1.2,Low,Green,1.119,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-25,Logic IC,Europe,Consumer Electronics,Supplier_C,Multimodal,8911,11205,3.31,29495.41,3373,2227,5792,14,0,11,3058.17,Inventory Shortage,3,8911,0,100.0,24.0,Low,Green,1.338,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-26,Analog IC,Europe,Computing,Supplier_D,Road,7363,8101,7.61,56032.43,9583,1840,4785,34,0,11,1449.81,Unknown,0,7363,0,100.0,16.8,Low,Green,1.129,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-27,Sensor IC,Asia-Pacific,Automotive,Supplier_B,Sea,6157,6237,10.34,63663.38,5482,1539,4002,34,3,22,637.84,Unknown,0,6157,0,100.0,35.3,Medium,Orange,1.066,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-28,Power IC,Asia-Pacific,Industrial,Supplier_B,Multimodal,4380,4891,4.82,21111.6,5219,1095,2847,32,0,11,1390.65,Unknown,0,4380,0,100.0,14.4,Low,Green,1.086,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-03-01,Memory Chip,Rest of World,Automotive,Supplier_A,Road,10047,9759,8.41,84495.27,5855,2511,6530,14,2,8,1851.55,Unknown,0,10047,0,100.0,7.0,Low,Green,1.141,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-02,Microcontroller,Europe,Consumer Electronics,Supplier_B,Road,6618,6303,9.4,62209.2,6111,1654,4301,19,0,15,1344.29,Logistics Delay,2,6618,0,100.0,18.4,Low,Green,1.082,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-03,Sensor IC,India,Industrial,Supplier_E,Air,5636,5566,7.34,41368.24,2844,1409,3663,43,3,6,2780.03,Unknown,0,5636,0,100.0,38.1,Medium,Orange,1.056,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-04,Sensor IC,India,Automotive,Supplier_D,Multimodal,6230,5988,4.28,26664.4,5215,1557,4049,38,0,17,1511.37,Unknown,0,6230,0,100.0,25.6,Low,Green,1.104,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-05,Microcontroller,Rest of World,Consumer Electronics,Supplier_D,Multimodal,6655,6705,6.21,41327.55,5835,1663,4325,32,0,21,1779.85,Logistics Delay,4,6655,0,100.0,53.6,Medium,Orange,0.98,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-06,Microcontroller,Asia-Pacific,Telecom,Supplier_A,Road,6891,7204,5.03,34661.73,3743,1722,4479,15,0,9,1360.18,Unknown,0,6891,0,100.0,0.0,Low,Green,1.126,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-07,Memory Chip,India,Consumer Electronics,Supplier_A,Road,8391,8135,5.26,44136.66,5795,2097,5454,19,1,19,1775.7,Logistics Delay,3,8391,0,100.0,33.1,Low,Green,0.965,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-08,Analog IC,Europe,Industrial,Supplier_C,Air,7259,7071,8.33,60467.47,4294,1814,4718,12,5,6,3077.01,Supplier Delay,1,7259,0,100.0,25.5,Low,Green,1.001,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-09,Power IC,Rest of World,Computing,Supplier_A,Air,5187,5592,2.12,10996.44,5858,1296,3371,14,0,5,2306.25,Unknown,0,5187,0,100.0,0.0,Low,Green,1.055,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-10,Sensor IC,Asia-Pacific,Industrial,Supplier_E,Multimodal,5372,6002,2.29,12301.88,4822,1343,3491,22,3,15,1348.28,Unknown,0,5372,0,100.0,15.3,Low,Green,1.182,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-11,Memory Chip,India,Computing,Supplier_B,Road,9618,10546,2.67,25680.06,9869,2404,6251,12,0,11,2046.47,Unknown,0,9618,0,100.0,0.0,Low,Green,1.121,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-12,Sensor IC,Asia-Pacific,Industrial,Supplier_B,Multimodal,6779,7413,3.99,27048.21,5082,1694,4406,30,0,21,1782.42,Unknown,0,6779,0,100.0,19.2,Low,Green,1.085,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-13,Logic IC,Asia-Pacific,Computing,Supplier_E,Sea,6248,6308,12.16,75975.68,7086,1562,4061,40,0,28,749.89,Logistics Delay,3,6248,0,100.0,60.8,Medium,Orange,1.125,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-14,Memory Chip,India,Telecom,Supplier_E,Multimodal,8779,8822,12.88,113073.52,6120,2194,5706,25,17,20,2097.9,Supplier Delay,5,8779,0,100.0,100.0,High,Red,0.969,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-15,Logic IC,Asia-Pacific,Industrial,Supplier_D,Multimodal,6328,6408,5.11,32336.08,8282,1582,4113,40,4,17,1651.88,Unknown,0,6328,0,100.0,42.0,Medium,Orange,1.149,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-16,Microcontroller,India,Computing,Supplier_B,Road,5805,7187,5.16,29953.8,2167,1451,3773,34,0,8,1408.31,Inventory Shortage,4,5805,0,100.0,48.8,Medium,Orange,1.225,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-17,Power IC,Europe,Telecom,Supplier_D,Road,4478,4854,7.2,32241.6,4661,1119,2910,18,6,9,1030.28,Supplier Delay,1,4478,0,100.0,29.0,Low,Green,1.275,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-18,Memory Chip,Europe,Automotive,Supplier_E,Sea,10691,10390,10.0,106910.0,9703,2672,6949,18,15,22,1258.49,Supplier Delay,4,10691,0,100.0,92.5,High,Red,0.928,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-19,Power IC,North America,Consumer Electronics,Supplier_C,Multimodal,4654,5212,3.02,14055.08,5304,1163,3025,21,2,20,1252.17,Unknown,0,4654,0,100.0,14.6,Low,Green,1.101,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-20,Sensor IC,North America,Consumer Electronics,Supplier_B,Sea,5961,6392,10.53,62769.33,6890,1490,3874,31,0,25,836.49,Unknown,0,5961,0,100.0,23.6,Low,Green,1.261,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-21,Memory Chip,Europe,Computing,Supplier_D,Multimodal,13037,15075,4.4,57362.8,14213,3259,8474,34,2,18,4270.28,Demand Spike,4,13037,0,100.0,60.6,Medium,Orange,1.248,1,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-22,Microcontroller,Europe,Automotive,Supplier_B,Road,8657,10176,5.22,45189.54,4531,2164,5627,12,0,10,1964.08,Demand Spike,1,8657,0,100.0,8.0,Low,Green,1.183,1,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-23,Power IC,Asia-Pacific,Industrial,Supplier_B,Sea,5136,5680,5.72,29377.92,3308,1284,3338,16,1,32,565.88,Unknown,0,5136,0,100.0,19.5,Low,Green,1.092,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-24,Analog IC,Rest of World,Computing,Supplier_D,Air,7203,7134,8.39,60433.17,4809,1800,4681,36,0,5,3159.91,Unknown,0,7203,0,100.0,19.2,Low,Green,0.976,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-25,Sensor IC,Asia-Pacific,Computing,Supplier_C,Sea,5486,5386,7.81,42845.66,2683,1371,3565,28,4,34,688.44,Unknown,0,5486,0,100.0,41.2,Medium,Orange,1.028,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-26,Power IC,Europe,Automotive,Supplier_C,Air,4381,4709,4.53,19845.93,5838,1095,2847,13,14,6,2186.25,Supplier Delay,5,4381,0,100.0,89.0,High,Red,1.15,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-27,Memory Chip,North America,Automotive,Supplier_D,Air,11431,10944,4.39,50182.09,11799,2857,7430,17,3,6,4187.33,Unknown,0,11431,0,100.0,10.5,Low,Green,0.978,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-28,Microcontroller,Europe,Industrial,Supplier_A,Road,5829,6485,5.12,29844.48,4850,1457,3788,17,0,9,1139.47,Unknown,0,5829,0,100.0,0.0,Low,Green,1.177,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-29,Memory Chip,Rest of World,Industrial,Supplier_C,Air,10310,10952,5.57,57426.7,12712,2577,6701,31,1,3,4198.3,Unknown,0,10310,0,100.0,16.7,Low,Green,1.103,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-30,Sensor IC,Europe,Automotive,Supplier_A,Multimodal,5172,5038,7.27,37600.44,4013,1293,3361,26,4,22,1322.23,Supplier Delay,1,5172,0,100.0,37.2,Medium,Orange,1.157,0,1,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-03-31,Microcontroller,Rest of World,Consumer Electronics,Supplier_D,Road,7643,8252,7.35,56176.05,6872,1910,4967,32,0,6,1757.13,Unknown,0,7643,0,100.0,14.4,Low,Green,1.13,0,0,Synthetic dataset created for academic semiconductor SCM simulation,3
2022-04-01,Logic IC,Asia-Pacific,Industrial,Supplier_C,Multimodal,8341,8207,3.53,29443.73,10100,2085,5421,14,17,22,2175.67,Supplier Delay,4,8341,0,100.0,99.5,High,Red,1.013,0,1,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-02,Power IC,Asia-Pacific,Computing,Supplier_E,Road,5608,6006,9.58,53724.64,5017,1402,3645,35,1,12,1108.07,Logistics Delay,2,5608,0,100.0,37.5,Medium,Orange,1.114,0,1,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-03,Logic IC,Europe,Telecom,Supplier_E,Sea,7740,8668,9.65,74691.0,6617,1935,5031,33,1,20,1041.87,Unknown,0,7740,0,100.0,25.5,Low,Green,1.254,0,1,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-04,Power IC,North America,Computing,Supplier_E,Sea,6316,7753,2.76,17432.16,7650,1579,4105,20,0,25,996.51,Demand Spike,2,6316,0,100.0,26.4,Low,Green,1.243,1,0,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-05,Analog IC,Rest of World,Industrial,Supplier_B,Road,6705,7443,3.54,23735.7,6888,1676,4358,33,13,5,1292.04,Supplier Delay,5,6705,0,100.0,100.0,High,Red,1.215,0,1,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-06,Analog IC,North America,Computing,Supplier_D,Air,6742,7123,4.9,33035.8,3993,1685,4382,26,0,5,3310.52,Unknown,0,6742,0,100.0,7.2,Low,Green,1.113,0,0,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-07,Sensor IC,North America,Industrial,Supplier_E,Sea,5481,6115,2.98,16333.38,3689,1370,3562,29,6,25,659.36,Supplier Delay,3,5481,0,100.0,66.2,High,Red,1.087,0,1,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-08,Power IC,India,Computing,Supplier_D,Sea,5694,7972,7.83,44584.02,1853,1423,3701,26,0,32,920.07,Inventory Shortage,2,5694,0,100.0,39.2,Medium,Orange,1.49,0,0,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-09,Memory Chip,North America,Computing,Supplier_C,Air,10974,10958,2.29,25130.46,10570,2743,7133,15,0,8,4695.21,Logistics Delay,4,10974,0,100.0,32.0,Low,Green,0.997,0,1,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-10,Logic IC,Europe,Automotive,Supplier_D,Multimodal,12545,16189,3.45,43280.25,12447,3136,8154,20,0,22,3664.98,Demand Spike,3,12545,0,100.0,32.0,Low,Green,1.355,1,0,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-11,Microcontroller,Asia-Pacific,Automotive,Supplier_B,Road,6772,7461,3.23,21873.56,6291,1693,4401,31,0,10,1628.08,Unknown,0,6772,0,100.0,13.2,Low,Green,1.242,0,0,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-12,Power IC,India,Automotive,Supplier_C,Road,4182,4387,8.47,35421.54,4803,1045,2718,35,3,9,945.95,Supplier Delay,4,4182,0,100.0,60.5,Medium,Orange,1.148,0,1,Synthetic dataset created for academic semiconductor SCM simulation,4
2022-04-13,Analog IC,Asia-Pacific,Computing,Supplier_D,Sea,7103,8373,11.48,81542.44,5819,1775,4616,18,0,31,1019.72,Demand Spike,4,7103,0,100.0,47.2,Medium,Orange,1.348,1,0,Synthetic dataset created for academic semiconductor SCM simulation,4
