date,product_type,disruption_type,baseline_service_level,proposed_service_level,baseline_delay,proposed_delay,baseline_cost,proposed_cost,baseline_bullwhip_ratio,proposed_bullwhip_ratio,baseline_stockout_units,proposed_stockout_units,final_status,final_color,final_decision
2022-01-19,Memory Chip,Unknown,100.0,100,27,22,1189.56,1046.8128,1.166,0.90948,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-20,Logic IC,Logistics Delay,100.0,100,42,37,755.92,665.2096,1.142,0.89076,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-21,Memory Chip,Unknown,100.0,100,13,8,2366.15,2082.212,1.258,0.98124,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-22,Microcontroller,Unknown,100.0,100,11,6,884.44,778.3072000000001,1.113,0.86814,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-23,Logic IC,Unknown,100.0,100,18,13,2114.36,1860.6368000000002,0.985,0.7683,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-24,Sensor IC,Unknown,100.0,100,13,8,1252.76,1102.4288,1.166,0.90948,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-25,Analog IC,Unknown,100.0,100,6,1,1563.8,1376.144,1.001,0.7807799999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-26,Analog IC,Unknown,100.0,100,34,29,937.39,824.9032,1.046,0.81588,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-27,Memory Chip,Unknown,100.0,100,11,6,2193.35,1930.148,1.224,0.95472,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-28,Logic IC,Unknown,100.0,100,15,10,1665.35,1465.508,1.002,0.78156,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-29,Sensor IC,Unknown,100.0,100,12,7,1586.59,1396.1992,1.156,0.9016799999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-30,Sensor IC,Unknown,100.0,100,23,18,742.73,653.6024,1.172,0.91416,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-31,Logic IC,Unknown,100.0,100,14,9,2265.24,1993.4111999999998,1.154,0.9001199999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-01,Microcontroller,Demand Spike,100.0,100,3,0,4033.42,3549.4096,1.283,1.00074,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-02,Analog IC,Unknown,100.0,100,6,3,2717.0,2499.6400000000003,1.215,1.0692000000000002,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-02-03,Microcontroller,Supplier Delay,100.0,100,38,33,1592.62,1401.5056,1.024,0.7987200000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-04,Memory Chip,Unknown,100.0,100,17,12,1621.32,1426.7616,1.0,0.78,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-05,Memory Chip,Logistics Delay,100.0,100,19,14,2157.97,1899.0135999999998,1.199,0.93522,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-06,Microcontroller,Unknown,100.0,100,26,21,662.46,582.9648000000001,1.07,0.8346000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-07,Analog IC,Supplier Delay,100.0,100,36,31,936.29,823.9352,1.209,0.9430200000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-08,Memory Chip,Logistics Delay,100.0,100,15,10,2019.97,1777.5736,1.118,0.8720400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-09,Sensor IC,Unknown,100.0,100,5,2,2923.31,2689.4452,1.193,1.04984,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-02-10,Sensor IC,Inventory Shortage,100.0,100,3,0,2784.52,2450.3776,1.245,0.9711000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-11,Power IC,Demand Spike,100.0,100,6,3,1409.19,1296.4548000000002,1.494,1.31472,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-02-12,Logic IC,Inventory Shortage,100.0,100,12,7,2117.45,1863.3559999999998,1.357,1.05846,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-13,Microcontroller,Unknown,100.0,100,37,32,614.28,540.5663999999999,1.185,0.9243000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-14,Memory Chip,Demand Spike,100.0,100,12,7,2461.98,2166.5424,1.292,1.00776,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-15,Sensor IC,Unknown,100.0,100,7,4,1168.04,1074.5968,1.078,0.94864,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-02-16,Microcontroller,Supplier Delay,100.0,100,30,25,2132.77,1876.8376,1.277,0.99606,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-17,Microcontroller,Demand Spike,100.0,100,10,5,2520.18,2217.7583999999997,1.572,1.2261600000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-18,Memory Chip,Unknown,100.0,100,37,32,1220.13,1073.7144,1.203,0.9383400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-19,Sensor IC,Supplier Delay,100.0,100,15,10,2800.24,2464.2111999999997,1.147,0.89466,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-20,Power IC,Unknown,100.0,100,3,0,1991.78,1752.7664,1.019,0.79482,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-21,Microcontroller,Unknown,100.0,100,17,12,2199.42,1935.4896,1.108,0.8642400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-22,Power IC,Unknown,100.0,100,14,11,1290.62,1187.3704,1.098,0.9662400000000001,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-02-23,Memory Chip,Inventory Shortage,100.0,100,9,4,2231.18,1963.4383999999998,1.339,1.04442,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-24,Logic IC,Unknown,100.0,100,5,0,3884.08,3417.9904,1.119,0.87282,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-25,Logic IC,Inventory Shortage,100.0,100,11,6,3058.17,2691.1896,1.338,1.0436400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-26,Analog IC,Unknown,100.0,100,11,6,1449.81,1275.8328,1.129,0.8806200000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-27,Sensor IC,Unknown,100.0,100,25,20,637.84,561.2992,1.066,0.8314800000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-02-28,Power IC,Unknown,100.0,100,11,8,1390.65,1279.3980000000001,1.086,0.9556800000000001,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-03-01,Memory Chip,Unknown,100.0,100,10,5,1851.55,1629.364,1.141,0.88998,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-02,Microcontroller,Logistics Delay,100.0,100,15,10,1344.29,1182.9752,1.082,0.84396,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-03,Sensor IC,Unknown,100.0,100,9,4,2780.03,2446.4264000000003,1.056,0.8236800000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-04,Sensor IC,Unknown,100.0,100,17,14,1511.37,1390.4604,1.104,0.97152,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-03-05,Microcontroller,Logistics Delay,100.0,100,21,16,1779.85,1566.268,0.98,0.7644,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-06,Microcontroller,Unknown,100.0,100,9,4,1360.18,1196.9584,1.126,0.87828,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-07,Memory Chip,Logistics Delay,100.0,100,20,15,1775.7,1562.616,0.965,0.7527,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-08,Analog IC,Supplier Delay,100.0,100,11,6,3077.01,2707.7688000000003,1.001,0.7807799999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-09,Power IC,Unknown,100.0,100,5,2,2306.25,2121.75,1.055,0.9284,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-03-10,Sensor IC,Unknown,100.0,100,18,13,1348.28,1186.4864,1.182,0.92196,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-11,Memory Chip,Unknown,100.0,100,11,6,2046.47,1800.8936,1.121,0.87438,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-12,Sensor IC,Unknown,100.0,100,21,16,1782.42,1568.5296,1.085,0.8463,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-13,Logic IC,Logistics Delay,100.0,100,28,23,749.89,659.9032,1.125,0.8775000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-14,Memory Chip,Supplier Delay,100.0,100,37,32,2097.9,1846.152,0.969,0.75582,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-15,Logic IC,Unknown,100.0,100,21,16,1651.88,1453.6544000000001,1.149,0.89622,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-16,Microcontroller,Inventory Shortage,100.0,100,8,3,1408.31,1239.3128,1.225,0.9555000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-17,Power IC,Supplier Delay,100.0,100,15,10,1030.28,906.6464,1.275,0.9944999999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-18,Memory Chip,Supplier Delay,100.0,100,37,32,1258.49,1107.4712,0.928,0.72384,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-19,Power IC,Unknown,100.0,100,22,17,1252.17,1101.9096000000002,1.101,0.85878,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-20,Sensor IC,Unknown,100.0,100,25,20,836.49,736.1112,1.261,0.98358,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-21,Memory Chip,Demand Spike,100.0,100,20,15,4270.28,3757.8464,1.248,0.9734400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-22,Microcontroller,Demand Spike,100.0,100,10,5,1964.08,1728.3904,1.183,0.9227400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-23,Power IC,Unknown,100.0,100,33,28,565.88,497.9744,1.092,0.8517600000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-24,Analog IC,Unknown,100.0,100,5,0,3159.91,2780.7208,0.976,0.76128,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-25,Sensor IC,Unknown,100.0,100,38,33,688.44,605.8272000000001,1.028,0.80184,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-26,Power IC,Supplier Delay,100.0,100,20,15,2186.25,1923.9,1.15,0.8969999999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-27,Memory Chip,Unknown,100.0,100,9,4,4187.33,3684.8504,0.978,0.76284,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-28,Microcontroller,Unknown,100.0,100,9,6,1139.47,1048.3124,1.177,1.03576,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-03-29,Memory Chip,Unknown,100.0,100,4,0,4198.3,3694.5040000000004,1.103,0.86034,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-30,Sensor IC,Supplier Delay,100.0,100,26,21,1322.23,1163.5624,1.157,0.90246,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-03-31,Microcontroller,Unknown,100.0,100,6,1,1757.13,1546.2744,1.13,0.8814,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-01,Logic IC,Supplier Delay,100.0,100,39,34,2175.67,1914.5896,1.013,0.79014,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-02,Power IC,Logistics Delay,100.0,100,13,8,1108.07,975.1016,1.114,0.8689200000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-03,Logic IC,Unknown,100.0,100,21,16,1041.87,916.8455999999999,1.254,0.97812,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-04,Power IC,Demand Spike,100.0,100,25,20,996.51,876.9288,1.243,0.9695400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-05,Analog IC,Supplier Delay,100.0,100,18,13,1292.04,1136.9952,1.215,0.9477000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-06,Analog IC,Unknown,100.0,100,5,0,3310.52,2913.2576,1.113,0.86814,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-07,Sensor IC,Supplier Delay,100.0,100,31,26,659.36,580.2368,1.087,0.8478600000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-08,Power IC,Inventory Shortage,100.0,100,32,27,920.07,809.6616,1.49,1.1622000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-09,Memory Chip,Logistics Delay,100.0,100,8,3,4695.21,4131.7848,0.997,0.77766,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-04-10,Logic IC,Demand Spike,100.0,100,22,17,3664.98,3225.1824,1.355,1.0569,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
